t_us,ax,ay,az,pitch,roll
552440.0,-0.47,0.078,0.733,-32.51,5.13
610144.0,-0.467,0.098,0.771,-30.97,6.21
667848.0,-0.547,0.083,0.761,-35.58,5.03
725544.0,-0.454,0.1,0.73,-31.6,6.64
783236.0,-0.506,0.094,0.785,-32.62,5.76
840948.0,-0.518,0.081,0.743,-34.71,5.12
898664.0,-0.44,0.108,0.765,-29.66,6.97
956380.0,-0.55,0.091,0.789,-34.71,5.4
1014088.0,-0.454,0.093,0.725,-31.84,6.23
1071848.0,-0.494,0.103,0.773,-32.36,6.41
1129612.0,-0.534,0.08,0.768,-34.65,4.86
1187352.0,-0.433,0.098,0.751,-29.74,6.43
1245120.0,-0.525,0.11,0.788,-33.43,6.65
1302884.0,-0.49,0.072,0.753,-32.92,4.57
1360620.0,-0.458,0.081,0.746,-31.38,5.29
1418376.0,-0.569,0.177,0.77,-35.75,10.46
1476188.0,-0.458,0.1,0.763,-30.8,6.42
1533928.0,-0.51,0.229,0.747,-33.12,14.24
1591756.0,-0.562,0.229,0.745,-35.81,13.76
1649564.0,-0.479,0.255,0.71,-32.42,16.57
1707376.0,-0.567,0.325,0.678,-37.01,20.2
1765188.0,-0.56,0.318,0.705,-35.92,19.48
1823008.0,-0.439,0.225,0.69,-31.15,15.38
1880816.0,-0.554,0.062,0.797,-34.74,3.66
1938572.0,-0.49,-0.033,0.747,-33.24,-2.1
1996324.0,-0.51,-0.205,0.76,-32.92,-12.63
2054128.0,-0.529,-0.144,0.77,-34.02,-8.77
2111900.0,-0.426,-0.14,0.781,-28.26,-8.92
2169676.0,-0.539,-0.098,0.778,-34.51,-5.89
2227448.0,-0.498,0.085,0.81,-31.44,5.13
2285200.0,-0.504,0.21,0.728,-33.65,13.34
2342992.0,-0.704,0.303,0.778,-40.12,16.09
2400800.0,-0.609,0.34,0.605,-41.29,21.59
2458572.0,-0.675,0.437,0.51,-45.16,27.28
2516384.0,-0.792,0.422,0.492,-50.7,24.34
2574192.0,-0.718,0.487,0.395,-48.85,30.74
2632008.0,-0.806,0.598,0.387,-48.54,33.78
2689788.0,-0.642,0.314,0.636,-42.14,19.18
2747600.0,-0.679,0.413,0.699,-39.9,22.98
2805404.0,-0.693,0.216,0.81,-39.61,11.47
2863224.0,-0.722,0.24,0.727,-43.32,13.19
2921032.0,-0.753,0.187,0.714,-45.58,10.21
2978856.0,-0.821,0.214,0.63,-50.97,11.7
3036680.0,-0.848,0.102,0.532,-57.45,5.82
3094440.0,-0.935,0.133,0.373,-67.05,7.55
3152224.0,-0.909,0.053,0.261,-73.68,3.19
3209984.0,-0.874,0.137,0.143,-77.24,8.78
3267772.0,-0.9,0.119,0.23,-73.93,7.3
3325540.0,-0.83,0.124,0.46,-60.15,7.42
3383308.0,-0.82,0.134,0.655,-50.79,7.26
3441088.0,-0.632,0.024,0.796,-38.44,1.38
3498840.0,-0.502,0.052,0.804,-31.93,3.13
3556600.0,-0.463,0.007,0.905,-27.09,0.39
3614368.0,-0.271,-0.029,1.0,-15.15,-1.62
3672144.0,-0.364,-0.064,1.077,-18.63,-3.22
3729912.0,-0.354,-0.006,0.987,-19.75,-0.32
3787664.0,-0.374,0.121,0.853,-23.44,7.38
3845456.0,-0.57,0.132,0.84,-33.82,7.43
3903208.0,-0.593,0.097,0.763,-37.64,5.74
3960968.0,-0.669,0.05,0.624,-46.94,3.12
4018712.0,-0.844,0.044,0.514,-58.59,2.57
4076472.0,-0.851,0.033,0.454,-61.85,1.97
4134244.0,-0.954,0.048,0.382,-68.02,2.69
4192000.0,-0.954,0.092,0.319,-70.82,5.22
4249776.0,-0.934,0.109,0.251,-73.66,6.45
4307548.0,-0.952,0.069,0.307,-71.72,3.94
4365300.0,-0.86,0.045,0.456,-61.97,2.64
4423056.0,-0.852,0.062,0.592,-55.03,3.42
4480800.0,-0.788,0.032,0.696,-48.53,1.76
4538564.0,-0.667,0.079,0.626,-46.55,4.94
4596320.0,-0.672,0.061,0.752,-41.69,3.44
4654064.0,-0.488,0.067,0.872,-29.16,3.83
4711828.0,-0.348,0.106,0.917,-20.66,6.17
4769588.0,-0.437,0.081,0.989,-23.75,4.29
4827348.0,-0.332,0.052,0.897,-20.28,3.13
4885104.0,-0.463,0.106,0.773,-30.67,6.7
4942860.0,-0.379,0.049,0.712,-27.95,3.5
5000592.0,-0.452,0.114,0.708,-32.2,7.71
5058344.0,-0.452,0.111,0.679,-33.3,7.74
5116120.0,-0.402,0.12,0.748,-27.96,8.06
5173892.0,-0.374,0.021,0.773,-25.78,1.37
5231660.0,-0.354,-0.142,0.821,-23.04,-9.03
5289436.0,-0.24,-0.153,0.849,-15.57,-9.83
5347208.0,-0.338,-0.187,0.862,-20.98,-11.41
5405044.0,-0.278,-0.252,0.781,-18.73,-16.9
5462872.0,-0.328,-0.17,0.783,-22.26,-11.35
5520712.0,-0.389,-0.16,0.81,-25.21,-10.08
5578524.0,-0.374,-0.067,0.871,-23.19,-4.04
5636284.0,-0.518,0.044,0.846,-31.43,2.57
5694040.0,-0.563,0.116,0.763,-36.12,6.99
5751800.0,-0.568,0.278,0.657,-38.56,17.74
5809620.0,-0.687,0.391,0.569,-44.84,23.65
5867424.0,-0.702,0.383,0.526,-47.17,23.57
5925252.0,-0.787,0.439,0.458,-51.1,25.74
5983056.0,-0.839,0.456,0.349,-55.64,26.62
6040880.0,-0.813,0.433,0.302,-57.04,26.5
6098668.0,-0.859,0.43,0.296,-58.73,25.3
6156480.0,-0.773,0.395,0.361,-55.33,24.8
6214292.0,-0.773,0.393,0.449,-52.37,23.7
6272108.0,-0.682,0.338,0.568,-45.89,20.83
6329924.0,-0.57,0.292,0.659,-38.32,18.53
6387736.0,-0.55,0.253,0.74,-35.1,15.37
6445544.0,-0.493,0.129,0.888,-28.8,7.23
6503312.0,-0.389,0.144,0.877,-23.62,8.54
6561088.0,-0.396,0.084,0.84,-25.11,5.17
6618836.0,-0.32,0.013,0.811,-21.52,0.83
6676600.0,-0.356,-0.061,0.807,-23.74,-3.96
6734356.0,-0.334,-0.109,0.839,-21.57,-6.91
6792132.0,-0.285,-0.153,0.79,-19.49,-10.35
6849976.0,-0.364,-0.189,0.849,-22.72,-11.56
6907796.0,-0.32,-0.234,0.797,-21.08,-15.23
6965636.0,-0.322,-0.223,0.828,-20.6,-14.1
7023452.0,-0.428,-0.244,0.855,-25.68,-14.29
7081288.0,-0.43,-0.129,0.86,-26.31,-7.66
7139052.0,-0.56,-0.018,0.814,-34.5,-1.02
7196816.0,-0.566,-0.03,0.74,-37.4,-1.83
7254572.0,-0.61,-0.016,0.654,-42.98,-1.0
7312328.0,-0.753,-0.032,0.633,-49.9,-1.88
7370108.0,-0.743,0.003,0.57,-52.5,0.18
7427848.0,-0.805,0.042,0.507,-57.7,2.56
7485592.0,-0.866,0.072,0.484,-60.52,4.14
7543344.0,-0.753,0.035,0.452,-58.97,2.26
7601108.0,-0.81,0.018,0.539,-56.33,1.04
7658884.0,-0.707,-0.065,0.63,-48.15,-3.92
7716640.0,-0.634,-0.026,0.679,-43.0,-1.63
7774396.0,-0.58,-0.028,0.783,-36.51,-1.64
7832164.0,-0.489,0.011,0.877,-29.12,0.61
7889936.0,-0.465,0.088,0.912,-26.93,4.94
7947692.0,-0.431,0.181,0.921,-24.64,10.07
8005508.0,-0.405,0.255,0.833,-24.91,15.41
8063336.0,-0.494,0.313,0.766,-30.81,18.98
8121144.0,-0.443,0.311,0.773,-28.02,19.24
8178972.0,-0.493,0.346,0.76,-30.55,20.9
8236772.0,-0.567,0.365,0.726,-34.91,21.64
8294588.0,-0.55,0.366,0.625,-37.18,23.74
8352388.0,-0.666,0.355,0.618,-43.06,21.34
8410204.0,-0.668,0.308,0.601,-44.71,18.9
8468008.0,-0.711,0.294,0.549,-48.79,18.11
8525816.0,-0.819,0.298,0.557,-52.37,16.73
8583640.0,-0.74,0.213,0.535,-52.09,13.15
8641440.0,-0.763,0.187,0.545,-52.94,11.25
8699284.0,-0.755,0.009,0.593,-51.83,0.52
8757028.0,-0.714,-0.036,0.57,-51.34,-2.26
8814804.0,-0.727,-0.07,0.646,-48.21,-4.11
8872584.0,-0.589,-0.162,0.701,-39.29,-10.04
8930416.0,-0.561,-0.193,0.748,-35.98,-11.68
8988252.0,-0.532,-0.227,0.779,-33.24,-13.54
9046092.0,-0.444,-0.247,0.729,-29.97,-16.14
9103924.0,-0.445,-0.24,0.803,-27.98,-14.66
9161748.0,-0.382,-0.29,0.809,-23.95,-17.96
9219556.0,-0.357,-0.23,0.787,-23.53,-14.91
9277388.0,-0.41,-0.212,0.819,-25.83,-13.05
9335216.0,-0.307,-0.229,0.759,-21.14,-15.59
9393044.0,-0.326,-0.189,0.82,-21.19,-12.09
9450880.0,-0.264,-0.208,0.928,-15.49,-12.14
9508712.0,-0.238,-0.109,0.897,-14.76,-6.72
9566500.0,-0.362,-0.044,0.911,-21.67,-2.57
9624264.0,-0.375,0.053,0.785,-25.51,3.5
9682008.0,-0.531,0.168,0.802,-32.94,9.94
9739768.0,-0.624,0.291,0.73,-38.46,16.83
9797584.0,-0.646,0.309,0.616,-43.17,19.07
9855396.0,-0.823,0.315,0.558,-52.12,17.58
9913224.0,-0.818,0.38,0.435,-54.77,22.33
9971036.0,-0.892,0.34,0.379,-60.28,19.35
10028848.0,-0.977,0.352,0.395,-61.57,18.48
10086732.0,-0.966,0.367,0.352,-62.24,19.66
10144600.0,-1.049,0.401,0.322,-63.9,20.06
10202464.0,-1.029,0.371,0.235,-66.87,19.37
10260328.0,-0.998,0.352,0.203,-67.86,19.05
10318200.0,-1.001,0.278,0.242,-69.79,15.1
10376076.0,-1.009,0.032,0.346,-70.99,1.73
10433896.0,-0.914,-0.017,0.386,-67.09,-0.96
10491716.0,-0.931,-0.163,0.441,-63.19,-8.99
10549564.0,-0.837,-0.183,0.575,-54.2,-10.22
10607440.0,-0.76,-0.215,0.672,-47.14,-11.98
10665324.0,-0.662,-0.279,0.765,-39.11,-15.41
10723212.0,-0.607,-0.142,0.812,-36.37,-7.95
10781048.0,-0.575,-0.165,0.873,-32.9,-8.97
10838864.0,-0.458,-0.093,0.849,-28.17,-5.52
10896692.0,-0.431,0.009,0.878,-26.13,0.54
10954484.0,-0.455,-0.013,0.951,-25.57,-0.69
11012312.0,-0.435,0.178,0.899,-25.4,10.09
11070156.0,-0.495,0.197,0.828,-30.17,11.56
11128024.0,-0.618,0.34,0.783,-35.9,18.82
11185860.0,-0.638,0.374,0.65,-40.39,22.31
11243716.0,-0.747,0.405,0.586,-46.35,23.1
11301560.0,-0.735,0.378,0.518,-48.89,22.8
11359420.0,-0.832,0.317,0.537,-53.15,17.76
11417292.0,-0.847,0.349,0.476,-55.14,19.75
11475164.0,-0.921,0.307,0.478,-58.33,16.49
11533036.0,-0.973,0.194,0.41,-65.02,10.41
11590912.0,-1.002,0.169,0.425,-65.48,8.82
11648732.0,-0.96,0.019,0.375,-68.62,1.03
11706560.0,-1.018,-0.151,0.4,-67.2,-7.88
11764384.0,-0.908,-0.201,0.325,-67.17,-11.78
11822268.0,-0.939,-0.258,0.425,-62.11,-14.04
11880144.0,-0.838,-0.225,0.521,-55.87,-12.85
11938032.0,-0.796,-0.175,0.651,-49.74,-9.65
11995848.0,-0.738,-0.123,0.708,-45.75,-6.86
12053672.0,-0.649,-0.108,0.746,-40.74,-6.23
12111480.0,-0.642,0.017,0.815,-38.21,0.92
12169304.0,-0.516,-0.027,0.783,-33.37,-1.67
12227108.0,-0.488,0.032,0.809,-31.11,1.92
12284904.0,-0.442,0.057,0.825,-28.11,3.49
12342716.0,-0.369,0.002,0.92,-21.86,0.14
12400508.0,-0.38,0.144,0.908,-22.47,8.32
12458316.0,-0.369,0.191,0.86,-22.71,11.53
12516176.0,-0.416,0.292,0.786,-26.38,18.2
12574028.0,-0.489,0.245,0.736,-32.2,15.5
12631876.0,-0.603,0.352,0.756,-35.86,19.99
12689748.0,-0.61,0.333,0.683,-38.77,19.98
12747600.0,-0.764,0.416,0.624,-45.55,22.87
12805468.0,-0.68,0.259,0.575,-47.15,16.23
12863324.0,-0.898,0.343,0.561,-53.8,17.97
12921196.0,-0.853,0.167,0.506,-57.98,9.56
12979004.0,-0.886,0.186,0.436,-61.85,10.64
13036884.0,-0.944,0.16,0.444,-63.42,8.7
13094692.0,-0.947,0.087,0.438,-64.75,4.79
13152512.0,-0.976,-0.013,0.442,-65.61,-0.68
13210336.0,-0.978,-0.042,0.424,-66.43,-2.26
13268168.0,-0.9,-0.157,0.365,-66.18,-9.2
13325992.0,-0.929,-0.118,0.491,-61.45,-6.42
13383828.0,-0.828,-0.098,0.551,-55.96,-5.64
13441644.0,-0.792,-0.121,0.651,-50.09,-6.71
13499472.0,-0.805,-0.098,0.731,-47.5,-5.13
13557284.0,-0.673,-0.08,0.67,-44.9,-4.82
13615072.0,-0.662,-0.049,0.743,-41.66,-2.81
13672892.0,-0.606,0.021,0.733,-39.58,1.26
13730692.0,-0.583,0.123,0.764,-37.03,7.27
13788520.0,-0.508,0.132,0.804,-31.97,7.92
13846320.0,-0.417,0.079,0.852,-25.97,4.77
13904140.0,-0.452,0.233,0.832,-27.62,13.85
13961996.0,-0.387,0.179,0.826,-24.58,11.11
14019864.0,-0.419,0.186,0.753,-28.38,12.15
14077724.0,-0.446,0.211,0.683,-31.99,14.5
14135596.0,-0.407,0.165,0.739,-28.28,11.07
14193440.0,-0.441,0.169,0.777,-29.04,10.74
14251312.0,-0.389,0.119,0.76,-26.83,7.94
