point_t,x,y,dist_m,quality,angle_deg,imu_t,ax,ay,az,pitch,roll
1776306360.0007877,0.2352864771396121,0.6486449519384474,0.69,47,70.0625,1476388.0,-0.479,-0.012,0.771,-31.87,-0.74
1776306362.9404821,0.25354197347730706,0.05758878089725912,0.26,47,12.796875,1649700.0,-0.481,-0.011,0.773,-31.91,-0.71
1776306362.9751494,0.2652798735435812,0.062312428075798794,0.2725,47,13.21875,1649700.0,-0.481,-0.011,0.773,-31.91,-0.71
1776306363.0122054,0.25774535767301865,0.06158190154589014,0.265,47,13.4375,1649700.0,-0.481,-0.011,0.773,-31.91,-0.71
1776306363.0775976,0.2485302293572936,0.061389942951684234,0.256,47,13.875,1649700.0,-0.481,-0.011,0.773,-31.91,-0.71
1776306363.1192837,0.25409602091282246,0.06386871030692959,0.262,47,14.109375,1649700.0,-0.481,-0.011,0.773,-31.91,-0.71
1776306363.147061,0.2551787191518658,0.06569681340836252,0.2635,47,14.4375,1649700.0,-0.481,-0.011,0.773,-31.91,-0.71
1776306363.219075,0.2532382363026946,0.06718925266960929,0.262,47,14.859375,1649700.0,-0.481,-0.011,0.773,-31.91,-0.71
1776306363.258537,0.2456475778572376,0.06653959342280652,0.2545,47,15.15625,1649700.0,-0.481,-0.011,0.773,-31.91,-0.71
1776306363.3007243,0.25117701321587077,0.06906777853640779,0.2605,47,15.375,1649700.0,-0.481,-0.011,0.773,-31.91,-0.71
1776306363.3835218,0.24346368251332726,0.0688072328832499,0.253,47,15.78125,1707480.0,-0.48,-0.013,0.769,-31.98,-0.8
1776306363.4599214,0.2484720535029611,0.07220250084326466,0.25875,47,16.203125,1707480.0,-0.48,-0.013,0.769,-31.98,-0.8
1776306363.515436,0.24401962252395515,0.07228190522714831,0.2545,47,16.5,1707480.0,-0.48,-0.013,0.769,-31.98,-0.8
1776306363.551629,0.24817323749794573,0.0741015802111414,0.259,47,16.625,1707480.0,-0.48,-0.013,0.769,-31.98,-0.8
1776306363.5855858,0.24431548453370025,0.0747676000488399,0.2555,47,17.015625,1707480.0,-0.48,-0.013,0.769,-31.98,-0.8
1776306363.620299,0.24166092980712403,0.07489322402431524,0.253,47,17.21875,1707480.0,-0.48,-0.013,0.769,-31.98,-0.8
1776306363.6552763,0.2442353670160078,0.0767143109110417,0.256,47,17.4375,1707480.0,-0.48,-0.013,0.769,-31.98,-0.8
1776306363.6890438,0.24350648336475889,0.07736176419477782,0.2555,47,17.625,1707480.0,-0.48,-0.013,0.769,-31.98,-0.8
1776306363.7376852,0.2422574535880368,0.07798446115118185,0.2545,47,17.84375,1707480.0,-0.48,-0.013,0.769,-31.98,-0.8
1776306363.8086593,0.24310110430940116,0.08023623298454179,0.256,47,18.265625,1707480.0,-0.48,-0.013,0.769,-31.98,-0.8
1776306363.8623354,0.23941764222442743,0.08178137068853805,0.253,47,18.859375,1707480.0,-0.48,-0.013,0.769,-31.98,-0.8
1776306363.9248147,0.2383597667182932,0.08331189356869072,0.2525,47,19.265625,1707480.0,-0.48,-0.013,0.769,-31.98,-0.8
1776306364.4761946,0.09735464922541587,0.45801761404360447,0.46825,47,78.0,1765244.0,-0.479,-0.011,0.772,-31.8,-0.71
1776306364.524066,0.0933857639389697,0.44531348406884674,0.455,47,78.15625,1765244.0,-0.479,-0.011,0.772,-31.8,-0.71
1776306364.5874095,0.09358902965193823,0.4524213672328139,0.462,47,78.3125,1765244.0,-0.479,-0.011,0.772,-31.8,-0.71
1776306364.6389346,0.09260177740155826,0.4526244699771238,0.462,47,78.4375,1765244.0,-0.479,-0.011,0.772,-31.8,-0.71
1776306364.725005,0.09215929887163303,0.4542454332533119,0.4635,47,78.53125,1765244.0,-0.479,-0.011,0.772,-31.8,-0.71
1776306364.7879815,0.09087302823272984,0.45297471534271483,0.462,47,78.65625,1765244.0,-0.479,-0.011,0.772,-31.8,-0.71
1776306364.8984594,0.08827925259939887,0.4463538658514022,0.455,47,78.8125,1765244.0,-0.479,-0.011,0.772,-31.8,-0.71
1776306718.9325435,0.2142101255153196,0.16105285507159145,0.268,47,36.9375,1014264.0,-0.474,-0.021,0.771,-31.55,-1.36
1776306718.9742157,0.2155374803122906,0.16426988336462936,0.271,47,37.3125,1014264.0,-0.474,-0.021,0.771,-31.55,-1.36
1776306719.001975,0.21239603895122744,0.1634378249911222,0.268,47,37.578125,1014264.0,-0.474,-0.021,0.771,-31.55,-1.36
1776306719.0575333,0.21406463252292723,0.1678104082076679,0.272,47,38.09375,1014264.0,-0.474,-0.021,0.771,-31.55,-1.36
1776306719.0862353,0.21222475807862493,0.16852789697397025,0.271,47,38.453125,1014264.0,-0.474,-0.021,0.771,-31.55,-1.36
1776306719.1273048,0.20594857567238592,0.1643698092063002,0.2635,47,38.59375,1014264.0,-0.474,-0.021,0.771,-31.55,-1.36
1776306719.161695,0.20136967350072021,0.16288417539531994,0.259,47,38.96875,1014264.0,-0.474,-0.021,0.771,-31.55,-1.36
1776306719.1894727,0.19868549081797834,0.16143133443795551,0.256,47,39.09375,1014264.0,-0.474,-0.021,0.771,-31.55,-1.36
1776306719.217248,0.1996709401216647,0.16496216436180328,0.259,47,39.5625,1014264.0,-0.474,-0.021,0.771,-31.55,-1.36
1776306719.272796,0.19601759819265824,0.164660563580906,0.256,47,40.03125,1014264.0,-0.474,-0.021,0.771,-31.55,-1.36
1776306719.3144772,0.19689926641212377,0.16826074671879804,0.259,47,40.515625,1014264.0,-0.474,-0.021,0.771,-31.55,-1.36
1776306719.4255717,0.19224065675369878,0.16905481327340718,0.256,47,41.328125,1014264.0,-0.474,-0.021,0.771,-31.55,-1.36
1776306719.4539354,0.19458428780958323,0.1731970119189049,0.2605,47,41.671875,1014264.0,-0.474,-0.021,0.771,-31.55,-1.36
1776306719.4994366,0.19159455381816418,0.17204004460362882,0.2575,47,41.921875,1014264.0,-0.474,-0.021,0.771,-31.55,-1.36
1776306719.548865,0.1931608269022416,0.17478313691670105,0.2605,47,42.140625,1014264.0,-0.474,-0.021,0.771,-31.55,-1.36
1776306719.596207,0.18870352695021034,0.17225338579125593,0.2555,47,42.390625,1072028.0,-0.475,-0.021,0.773,-31.55,-1.36
1776306719.6594799,0.19023746744555892,0.1757575204078048,0.259,47,42.734375,1072028.0,-0.475,-0.021,0.773,-31.55,-1.36
1776306719.707037,0.1857749018625219,0.17248169711007122,0.2535,47,42.875,1072028.0,-0.475,-0.021,0.773,-31.55,-1.36
1776306719.7859666,0.18624194461656646,0.17491194374724614,0.2555,47,43.203125,1072028.0,-0.475,-0.021,0.773,-31.55,-1.36
1776306719.801661,0.19053920323319934,0.17982995309807975,0.262,47,43.34375,1072028.0,-0.475,-0.021,0.773,-31.55,-1.36
1776306719.849143,0.1862108513431366,0.1800181069838928,0.259,47,44.03125,1072028.0,-0.475,-0.021,0.773,-31.55,-1.36
1776306719.849143,0.1854236040724151,0.18082888887784565,0.259,47,44.28125,1072028.0,-0.475,-0.021,0.773,-31.55,-1.36
1776306719.9599307,0.1836619906572018,0.1804841355572116,0.2575,47,44.5,1072028.0,-0.475,-0.021,0.773,-31.55,-1.36
1776306720.0075712,0.18175829990000958,0.18027734305080653,0.256,47,44.765625,1072028.0,-0.475,-0.021,0.773,-31.55,-1.36
1776306720.023676,0.18178182484997862,0.1823776799781478,0.2575,47,45.09375,1072028.0,-0.475,-0.021,0.773,-31.55,-1.36
1776306720.055541,0.17922103049386826,0.18069330986153292,0.2545,47,45.234375,1072028.0,-0.475,-0.021,0.773,-31.55,-1.36
1776306720.1500201,0.17918363355931546,0.18283660865505288,0.256,47,45.578125,1072028.0,-0.475,-0.021,0.773,-31.55,-1.36
1776306720.2292523,0.1822573058337205,0.188218687887876,0.262,47,45.921875,1072028.0,-0.475,-0.021,0.773,-31.55,-1.36
1776306720.292805,0.17901057368418474,0.18648716982478727,0.2585,47,46.171875,1072028.0,-0.475,-0.021,0.773,-31.55,-1.36
1776306720.435187,0.1765729348729049,0.18535910733052444,0.256,47,46.390625,1072028.0,-0.475,-0.021,0.773,-31.55,-1.36
1776306720.5300915,0.1747326166603632,0.18503719268034352,0.2545,47,46.640625,1129808.0,-0.476,-0.022,0.771,-31.64,-1.39
1776306723.6845138,0.1925297871760486,0.5460524526544546,0.579,47,70.578125,1303128.0,-0.474,-0.023,0.772,-31.55,-1.48
1776308244.5369468,0.1839775584941891,0.520438524679445,0.552,47,70.53125,667896.0,-0.476,-0.026,0.769,-31.72,-1.67
1776308689.7450776,0.28586358010355384,0.7380747005353719,0.7915,47,68.828125,1418632.0,-0.479,-0.011,0.771,-31.82,-0.68
1776308689.857698,0.28658300902765665,0.7154898611697122,0.77075,47,68.171875,1534176.0,-0.479,-0.013,0.77,-31.88,-0.83
